% Model:              1p44GHz_6mm_bore_mo4.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 23 2026, 03:02
% Dimension:          2
% Nodes:              400
% Expressions:        2
% Description:        Arrow surface
% r                       z                        Hrad                     Haxi
0.0031500000000000005     0.0018750000000000008    -1.0799763773874176      2.9717580982970797
0.003850000000000001      0.0018750000000000008    -1.164526266162931       2.037814271648718
0.00455                   0.0018750000000000008    -1.1512962865636058      1.0658344744009782
0.005250000000000001      0.0018750000000000008    -1.0455486998051229      0.12587399663723647
0.00595                   0.0018750000000000008    -0.8621369768338946      -0.717496098263712
0.006650000000000001      0.0018750000000000008    -0.6555656777220361      -0.7435753813027675
0.007350000000000002      0.0018750000000000008    -0.49822059897455134     -0.6117306182980119
0.008050000000000002      0.0018750000000000008    -0.38057623764133736     -0.5135041395195584
0.00875                   0.0018750000000000008    -0.29194028282816736     -0.4387730672071719
0.009450000000000002      0.0018750000000000008    -0.22395839035388848     -0.38117824905151837
0.010150000000000001      0.0018750000000000008    -0.17060392973393312     -0.33672824694522624
0.010850000000000002      0.0018750000000000008    -0.12764724965717775     -0.30280005069165616
0.011550000000000001      0.0018750000000000008    -0.09211340916850999     -0.2775882026624399
0.012250000000000002      0.0018750000000000008    -0.06187292771853119     -0.2598077914285714
0.012950000000000003      0.0018750000000000008    -0.03535605134452499     -0.2485348056159573
0.01365                   0.0018750000000000008    -0.011360675206696534    -0.24311410692943364
3.5000000000000005E-4     0.0026250000000000015    -0.08999828427835738     4.459694121106987
0.0010500000000000002     0.0026250000000000015    -0.2725076823683711      4.527023973986045
0.0017500000000000003     0.0026250000000000015    -0.4620804933290778      4.664220236099742
0.0024500000000000004     0.0026250000000000015    -0.6472263189287335      4.239539071054841
0.0031500000000000005     0.0026250000000000015    -0.7743773443739659      3.3148841711445174
0.003850000000000001      0.0026250000000000015    -0.8341412484488582      2.265386423029865
0.00455                   0.0026250000000000015    -0.8248421501007329      1.1732083166857503
0.005250000000000001      0.0026250000000000015    -0.7505975673065456      0.11960570868615758
0.00595                   0.0026250000000000015    -0.621752224491558       -0.8199413844627911
0.006650000000000001      0.0026250000000000015    -0.47590017992884287     -0.8455056652689026
0.007350000000000002      0.0026250000000000015    -0.36383461390022426     -0.692649771364691
0.008050000000000002      0.0026250000000000015    -0.2788479423373642      -0.5770152135115655
0.00875                   0.0026250000000000015    -0.21408520861930772     -0.48896516309973076
0.009450000000000002      0.0026250000000000015    -0.1641254506453185      -0.42162267648041046
0.010150000000000001      0.0026250000000000015    -0.12486523658504804     -0.3701975482781055
0.010850000000000002      0.0026250000000000015    -0.0932973539249799      -0.3313538169619246
0.011550000000000001      0.0026250000000000015    -0.0672457868316384      -0.3027442659834604
