#Temperature Frequency
114.35	1352.8
110.6	1353.2
94.223	1353.2
100.61	1353.2
108.69	1353.5
98.556	1353.6
80.451	1353.8
89.771	1354
92.072	1354
96.478	1354.1
85.37	1354.1
80.366	1354.3
80.413	1354.3
80.192	1354.5
79.481	1354.5
80.349	1354.6
81.305	1354.6
80.395	1354.7
80.379	1354.7
80.71	1354.8
80.949	1354.9
80.311	1355
